frame,numero_pers,joint,x,y,tracking
11,0,23,365.506,927.583,0
11,0,24,336.038,904.027,0
11,1,0,1642.79,312.503,1
11,1,1,1704.75,391.915,1
11,1,2,1666.42,389.168,1
11,1,3,1657.64,489.074,1
11,1,4,1610.56,527.392,1
11,1,5,1742.92,392.018,1
11,1,6,1766.4,512.623,1
11,1,7,1654.6,556.833,1
11,1,8,1681.05,595.057,1
11,1,9,1645.76,592.111,1
11,1,10,1637.05,721.611,1
11,1,11,1639.87,857.016,1
11,1,12,1710.47,597.918,1
11,1,13,1707.64,745.178,1
11,1,14,1725.18,924.712,1
11,1,15,1642.83,294.899,1
11,1,16,1660.48,294.903,1
11,1,17,0,0,1
11,1,18,1707.61,309.574,1
11,1,19,1654.58,948.169,1
11,1,20,1672.22,951.293,1
11,1,21,1734.19,939.381,1
11,1,22,1572.16,859.991,1
11,1,23,1583.89,856.952,1
11,1,24,1657.49,880.394,1
12,0,0,362.474,362.574,0
12,0,1,318.325,433.132,0
12,0,2,259.498,441.999,0
12,0,3,262.482,550.729,0
12,0,4,333.112,533.183,0
12,0,5,377.26,418.399,0
12,0,6,436.039,500.852,0
12,0,7,406.705,550.858,0
12,0,8,362.593,624.453,0
12,0,9,321.315,627.514,0
12,0,10,318.523,759.773,0
12,0,11,339.011,886.477,0
12,0,12,403.68,621.403,0
12,0,13,394.969,742.292,0
12,0,14,400.736,856.977,0
12,0,15,344.852,347.802,0
12,0,16,365.42,347.79,0
12,0,17,306.659,359.587,0
12,0,18,0,0,0
12,0,19,462.538,874.654,0
12,0,20,456.796,860.037,0
12,0,21,386.16,871.667,0
12,0,22,386.061,924.62,0
12,0,23,365.479,927.612,0
12,0,24,336.054,904.02,0
12,1,0,1642.8,312.514,1
12,1,1,1704.74,391.936,1
12,1,2,1666.41,389.16,1
12,1,3,1657.65,489.117,1
12,1,4,1610.57,527.424,1
12,1,5,1742.94,394.861,1
12,1,6,1766.4,512.596,1
12,1,7,1654.59,556.862,1
12,1,8,1681.07,595.06,1
12,1,9,1645.81,592.124,1
12,1,10,1637.05,721.588,1
12,1,11,1639.88,857.004,1
12,1,12,1710.48,597.924,1
12,1,13,1707.65,745.162,1
12,1,14,1725.17,924.647,1
12,1,15,1642.85,294.921,1
12,1,16,1660.49,294.916,1
12,1,17,0,0,1
12,1,18,1707.59,309.529,1
12,1,19,1654.6,948.153,1
12,1,20,1672.26,951.273,1
12,1,21,1734.18,936.504,1
12,1,22,1569.34,860.005,1
